委員姓名,總最終關心度,平均最終關心度,關注主題數,總直接發言,總低相關發言,總中相關發言,總高相關發言,總發言次數,平均相關性,專業度,發言效率,直接參與率
伍麗華,66.36,2.458,27,18,46,40,31,18,0.031,2.457777777777778,3.6866666666666665,1.0
何志偉,847.425,5.65,150,222,1552,837,383,222,0.006,5.6495,3.8172297297297297,1.0
何欣純,911.426,5.661,161,242,1465,789,400,242,0.006,5.661031055900621,3.766223140495868,1.0
余天,71.233,1.979,36,20,94,65,32,20,0.021,1.9786944444444445,3.56165,1.0
傅崐萁,406.202,3.796,107,109,613,361,186,109,0.008,3.7962803738317756,3.726623853211009,1.0
劉世芳,1475.485,8.197,180,394,2942,1414,605,394,0.005,8.197138888888889,3.74488578680203,1.0
劉建國,1149.244,6.493,177,303,2133,1102,497,303,0.005,6.49290395480226,3.7928844884488444,1.0
劉櫂豪,555.813,5.851,95,150,832,513,252,150,0.009,5.850663157894736,3.7054199999999997,1.0
吳思瑤,916.839,7.053,130,241,1189,742,419,241,0.007,7.052607692307693,3.8043112033195023,1.0
吳怡玎,1023.402,6.279,163,271,1697,915,446,271,0.006,6.278539877300614,3.7763911439114395,1.0
吳斯懷,896.79,7.061,127,237,1582,869,396,237,0.007,7.061338582677165,3.783924050632911,1.0
吳欣盈,204.974,2.47,83,56,195,131,93,56,0.01,2.469566265060241,3.66025,1.0
吳玉琴,1368.64,8.717,157,363,2450,1216,577,363,0.006,8.717452229299363,3.770358126721763,1.0
吳琪銘,667.956,4.544,147,179,874,494,282,179,0.006,4.543918367346939,3.7315977653631287,1.0
吳秉叡,716.603,6.286,114,189,1183,653,321,189,0.008,6.285991228070175,3.7915502645502643,1.0
呂玉玲,927.207,6.181,150,244,1291,760,414,244,0.006,6.18138,3.80002868852459,1.0
周春米,511.384,4.526,113,140,889,449,209,140,0.008,4.525522123893805,3.652742857142857,1.0
孔文吉,1514.99,8.86,171,396,2145,1235,675,396,0.006,8.859590643274855,3.825732323232323,1.0
廖國棟,680.569,5.533,123,179,911,534,306,179,0.008,5.5330813008130075,3.8020614525139664,1.0
廖婉汝,1359.25,7.949,171,357,2168,1237,604,357,0.006,7.9488304093567255,3.807422969187675,1.0
張其祿,2560.993,13.133,195,671,4445,2329,1107,671,0.005,13.133297435897436,3.816681073025335,1.0
張宏陸,831.393,5.734,145,224,1167,668,351,224,0.006,5.733744827586207,3.711575892857143,1.0
張廖萬堅,835.54,6.793,123,217,1073,674,392,217,0.008,6.793008130081301,3.8504147465437786,1.0
張育美,817.361,7.568,108,218,1091,628,358,218,0.009,7.568157407407408,3.749362385321101,1.0
