委員姓名,主題ID,直接發言次數,低相關發言次數,中相關發言次數,高相關發言次數,總發言次數,平均相關性,最大相關性,總相關性,基礎關心度,加權關心度,質量加分,最終關心度評分,直接參與率,低相關率,中相關率,高相關率
江啟臣,0,13,14,7,3,323,0.0030840461669936277,0.1138857752084732,0.9961469119389418,26.0,0.9961469119389418,1.5,28.496146911938943,0.04024767801857585,0.043343653250773995,0.021671826625386997,0.009287925696594427
江啟臣,1,7,5,5,3,323,0.007344224816657607,0.7313672304153442,2.372184615780407,14.0,2.372184615780407,1.5,17.872184615780405,0.021671826625386997,0.015479876160990712,0.015479876160990712,0.009287925696594427
江啟臣,2,2,4,2,2,323,0.0035247385966192626,0.5024394989013672,1.1384905667080218,4.0,1.1384905667080218,1.0,6.138490566708022,0.006191950464396285,0.01238390092879257,0.006191950464396285,0.006191950464396285
江啟臣,3,24,11,9,6,323,0.004942475008532423,0.6331127285957336,1.5964194277559727,48.0,1.5964194277559727,3.0,52.596419427755976,0.07430340557275542,0.034055727554179564,0.02786377708978328,0.018575851393188854
江啟臣,4,16,70,51,36,323,0.045434182418820815,0.5017856955528259,14.675240921279123,32.0,14.675240921279123,18.0,64.67524092127913,0.04953560371517028,0.21671826625386997,0.15789473684210525,0.11145510835913312
江啟臣,5,5,17,3,1,323,0.0028641919313348533,0.10108589380979538,0.9251339938211576,10.0,0.9251339938211576,0.5,11.425133993821158,0.015479876160990712,0.05263157894736842,0.009287925696594427,0.0030959752321981426
江啟臣,6,1,13,13,13,323,0.03604867236200005,0.913533627986908,11.643721172926018,2.0,11.643721172926018,6.5,20.143721172926018,0.0030959752321981426,0.04024767801857585,0.04024767801857585,0.04024767801857585
江啟臣,7,0,7,4,2,323,0.0028188588278664196,0.5572657585144043,0.9104914014008535,0.0,0.9104914014008535,1.0,1.9104914014008534,0.0,0.021671826625386997,0.01238390092879257,0.006191950464396285
江啟臣,8,3,5,4,3,323,0.006255210144488312,0.6610981822013855,2.020432876669725,6.0,2.020432876669725,1.5,9.520432876669725,0.009287925696594427,0.015479876160990712,0.01238390092879257,0.009287925696594427
江啟臣,9,5,6,5,2,323,0.004210975406164478,0.5987996459007263,1.3601450561911266,10.0,1.3601450561911266,1.0,12.360145056191126,0.015479876160990712,0.018575851393188854,0.015479876160990712,0.006191950464396285
江啟臣,10,2,16,7,2,323,0.003689029166231991,0.3631512224674225,1.1915564206929332,4.0,1.1915564206929332,1.0,6.191556420692933,0.006191950464396285,0.04953560371517028,0.021671826625386997,0.006191950464396285
江啟臣,11,0,11,9,6,323,0.008686693989217053,0.5754170417785645,2.805802158517108,0.0,2.805802158517108,3.0,5.805802158517108,0.0,0.034055727554179564,0.02786377708978328,0.018575851393188854
江啟臣,12,0,33,21,10,323,0.01878988112209961,0.7172879576683044,6.069131602438174,0.0,6.069131602438174,5.0,11.069131602438173,0.0,0.1021671826625387,0.06501547987616099,0.030959752321981424
江啟臣,13,0,23,7,2,323,0.0048128470258467695,0.3671702742576599,1.5545495893485066,0.0,1.5545495893485066,1.0,2.5545495893485066,0.0,0.07120743034055728,0.021671826625386997,0.006191950464396285
江啟臣,15,0,4,4,1,323,0.0016153580791710394,0.10837522894144058,0.5217606595722457,0.0,0.5217606595722457,0.5,1.0217606595722457,0.0,0.01238390092879257,0.01238390092879257,0.0030959752321981426
江啟臣,16,2,2,1,0,323,0.0004209954375820709,0.061421602964401245,0.1359815263390089,4.0,0.1359815263390089,0.0,4.135981526339009,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.0
江啟臣,17,0,5,5,2,323,0.0018131417114715396,0.13089405000209808,0.5856447728053072,0.0,0.5856447728053072,1.0,1.5856447728053071,0.0,0.015479876160990712,0.015479876160990712,0.006191950464396285
江啟臣,19,1,0,0,0,323,0.00017058682380361497,0.010127595625817776,0.05509954408856764,2.0,0.05509954408856764,0.0,2.0550995440885678,0.0030959752321981426,0.0,0.0,0.0
江啟臣,20,1,1,1,1,323,0.002639389881656959,0.8221734166145325,0.8525229317751978,2.0,0.8525229317751978,0.5,3.352522931775198,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426
江啟臣,21,7,4,3,2,323,0.005312156387672234,0.7924396991729736,1.7158265132181316,14.0,1.7158265132181316,1.0,16.715826513218133,0.021671826625386997,0.01238390092879257,0.009287925696594427,0.006191950464396285
江啟臣,22,2,0,0,0,323,3.7132938105046635e-25,2.3097564892667157e-23,1.1993939007930063e-22,4.0,1.1993939007930063e-22,0.0,4.0,0.006191950464396285,0.0,0.0,0.0
江啟臣,23,2,10,7,6,323,0.009627420307613335,0.6155284643173218,3.1096567593591073,4.0,3.1096567593591073,3.0,10.109656759359108,0.006191950464396285,0.030959752321981424,0.021671826625386997,0.018575851393188854
江啟臣,24,4,3,0,0,323,0.0003235340106196983,0.028041169047355652,0.10450148543016255,8.0,0.10450148543016255,0.0,8.104501485430163,0.01238390092879257,0.009287925696594427,0.0,0.0
江啟臣,25,1,0,0,0,323,1.4219234020216334e-08,1.0396939842394204e-06,4.592812588529876e-06,2.0,4.592812588529876e-06,0.0,2.0000045928125885,0.0030959752321981426,0.0,0.0,0.0
江啟臣,26,12,6,5,4,323,0.005790909103180628,0.5453406572341919,1.8704636403273427,24.0,1.8704636403273427,2.0,27.870463640327344,0.03715170278637771,0.018575851393188854,0.015479876160990712,0.01238390092879257
江啟臣,27,1,9,7,1,323,0.003903316473593432,0.6846068501472473,1.2607712209706785,2.0,1.2607712209706785,0.5,3.7607712209706783,0.0030959752321981426,0.02786377708978328,0.021671826625386997,0.0030959752321981426
江啟臣,28,3,9,5,2,323,0.001889613805864344,0.1313054859638214,0.6103452592941832,6.0,0.6103452592941832,1.0,7.610345259294183,0.009287925696594427,0.02786377708978328,0.015479876160990712,0.006191950464396285
江啟臣,29,2,13,5,0,323,0.0023322609009784763,0.08939926326274872,0.7533202710160478,4.0,0.7533202710160478,0.0,4.753320271016047,0.006191950464396285,0.04024767801857585,0.015479876160990712,0.0
江啟臣,30,0,10,8,5,323,0.008732646115307727,0.5588266849517822,2.820644695244396,0.0,2.820644695244396,2.5,5.320644695244396,0.0,0.030959752321981424,0.02476780185758514,0.015479876160990712
江啟臣,31,9,66,44,17,323,0.026369634855413337,0.6043334603309631,8.517392058298508,18.0,8.517392058298508,8.5,35.01739205829851,0.02786377708978328,0.2043343653250774,0.13622291021671826,0.05263157894736842
江啟臣,32,3,6,2,1,323,0.0011641863962188507,0.12392047792673111,0.37603220597868875,6.0,0.37603220597868875,0.5,6.876032205978689,0.009287925696594427,0.018575851393188854,0.006191950464396285,0.0030959752321981426
江啟臣,33,4,0,0,0,323,2.859238035145887e-05,0.0017002196982502937,0.009235338853521215,8.0,0.009235338853521215,0.0,8.009235338853522,0.01238390092879257,0.0,0.0,0.0
江啟臣,34,1,18,8,5,323,0.00439607565779182,0.15305186808109283,1.419932437466758,2.0,1.419932437466758,2.5,5.919932437466758,0.0030959752321981426,0.05572755417956656,0.02476780185758514,0.015479876160990712
江啟臣,36,1,0,0,0,323,0.00012203407595688187,0.013128398917615414,0.039417006534072846,2.0,0.039417006534072846,0.0,2.0394170065340727,0.0030959752321981426,0.0,0.0,0.0
江啟臣,37,0,7,3,1,323,0.001750675385906632,0.10646402835845947,0.5654681496478422,0.0,0.5654681496478422,0.5,1.0654681496478422,0.0,0.021671826625386997,0.009287925696594427,0.0030959752321981426
江啟臣,38,1,8,7,7,323,0.017383910769246346,0.8951111435890198,5.615003178466569,2.0,5.615003178466569,3.5,11.11500317846657,0.0030959752321981426,0.02476780185758514,0.021671826625386997,0.021671826625386997
江啟臣,40,0,12,10,6,323,0.004411219652591094,0.19014857709407806,1.4248239477869233,0.0,1.4248239477869233,3.0,4.424823947786924,0.0,0.03715170278637771,0.030959752321981424,0.018575851393188854
江啟臣,41,2,2,2,2,323,0.005808575982833325,0.9326115250587463,1.876170042455164,4.0,1.876170042455164,1.0,6.876170042455164,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.006191950464396285
江啟臣,43,0,4,1,1,323,0.0028456993039778335,0.5302625894546509,0.9191608751848402,0.0,0.9191608751848402,0.5,1.4191608751848404,0.0,0.01238390092879257,0.0030959752321981426,0.0030959752321981426
江啟臣,44,1,32,4,4,323,0.01281808418637139,0.8587796688079834,4.1402411921979585,2.0,4.1402411921979585,2.0,8.140241192197958,0.0030959752321981426,0.09907120743034056,0.01238390092879257,0.01238390092879257
江啟臣,45,9,1,0,0,323,0.0004483144070001897,0.02125702239573002,0.14480555346106128,18.0,0.14480555346106128,0.0,18.14480555346106,0.02786377708978328,0.0030959752321981426,0.0,0.0
江啟臣,47,6,25,15,8,323,0.012016675047132556,0.4310729205608368,3.8813860402238154,12.0,3.8813860402238154,4.0,19.881386040223816,0.018575851393188854,0.07739938080495357,0.04643962848297214,0.02476780185758514
江啟臣,48,1,8,2,1,323,0.004078579396864931,0.6054672002792358,1.317381145187373,2.0,1.317381145187373,0.5,3.817381145187373,0.0030959752321981426,0.02476780185758514,0.006191950464396285,0.0030959752321981426
江啟臣,49,3,5,2,2,323,0.0012359231372182067,0.12922507524490356,0.3992031733214808,6.0,0.3992031733214808,1.0,7.399203173321481,0.009287925696594427,0.015479876160990712,0.006191950464396285,0.006191950464396285
江啟臣,51,3,3,0,0,323,0.0005829601503867267,0.046429600566625595,0.18829612857491274,6.0,0.18829612857491274,0.0,6.188296128574913,0.009287925696594427,0.009287925696594427,0.0,0.0
