委員姓名,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
伍麗華,0.6089918648361872,0.7331040937500208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0029735750696225,0.0,0.0,2.011589541308478,0.0,0.0,2.0117092977260342,0.0,0.0,0.0,1.1970773692054988,0.0,0.0,0.0,0.0,6.350073801283885,0.0,2.000216296707802,0.0,0.0,0.0,0.0,0.0,0.0,3.312126527138502,2.656612770868353,4.615714188293309,0.0,2.024057740962622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0247723003849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09434472460887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0675793654757304,0.0,2.0000780468572494,0.0,0.0,0.0,0.0,0.0,0.0,2.000267037746394,0.0,0.0,0.0,0.0,0.0,2.4671132496795307,0.0,0.0,0.0,0.0,0.0,1.1840927240370007,2.000001438669663,0.0,0.0,0.0,0.0,0.0,0.0,0.9263722731070329,0.0,0.0,0.0,0.0,0.0,2.8169761685725607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9453375400206981,0.0,0.0,0.0,0.0,0.0,1.1246199340714975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350503153977492,0.0,0.0,0.0,0.6419920950687179,0.0,0.0,0.8797153364690846,0.0,0.0,0.0,1.2276989200764907,0.0,0.0,0.0,8.251601566083352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000452489659674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
何志偉,4.877512307589558,2.1154186987302444,5.670932090415548,20.092428813964585,42.80490648585347,3.383322080666125,2.8222299554195596,0.0,3.4441871459976294,7.075044261815454,4.6742538598230565,0.0,11.576142000405245,1.3418803673988229,0.0,0.0,0.0,1.1655569954887983,0.0,0.0,8.001418866967187,13.073886674438784,8.0,5.152212465307334,0.0,2.000006157713934,11.979427783941562,0.0,4.837959789948327,2.868161733795164,4.696529192790997,35.747384901425534,0.0,1.2714244512920236,12.587596057534043,0.0,2.0205388933016373,3.7267658351711628,1.4105372421498596,1.8386903795529037,1.4286914452637625,5.434400705161877,1.3017287759894616,3.7023631691591015,4.612994064225953,10.227255633374911,2.0005607889507337,4.348650955234984,2.524589103952512,7.171752084781257,2.414532379597964,4.0651848906153925,6.169482979380168,4.160161358011683,0.0,0.9521150626457389,2.2995956045764805,3.4320678927106254,0.0,9.471189522167588,3.0605348179457215,4.460774875003164,2.0783123358368627,0.0,1.9415794629139866,10.230233870451631,3.92804031037091,1.1858960732273411,24.951474247702816,5.269395401332739,1.4134406902576602,4.024811436863317,3.5348972663094402,3.6866450087282012,11.907349436101049,12.043691164632282,2.2505709861344,7.446837213578249,8.756147982965379,5.091513770905143,4.016607269437332,0.0,0.0,2.4541338763036737,7.19040157768492,3.745516740376596,3.0471758023939066,2.1045877303609664,0.0,4.479834600321615,0.0,6.630791238454629,0.7438934395942625,4.168627000922996,13.25012550494623,4.006280218342151,2.03037708954188,1.284872852446361,3.3747611192242797,1.4661761856748008,12.049976909355909,3.445604842506928,1.092806141580271,3.1163274821606244,8.533339384665506,1.7228917243369715,4.0985911571529225,2.236745457263769,8.358958396848204,2.0019258466735046,10.429050836101524,4.113803413951137,4.182777057158409,1.3110549761751211,0.0,0.0,0.0,2.015438838901383,0.0,4.612991734297647,7.09733029250689,0.0,0.9790565159701727,1.986533035721014,7.997075099618191,4.170629429346941,2.2360165977406146,3.468042091914838,6.332547507291284,0.0,1.137010445927563,0.0,12.121861549783539,2.2490476566974595,1.0710319951714984,4.104196033890097,6.161908406065551,5.028201286276437,0.8010642679342515,3.0092889889927408,5.205961212306236,0.0,2.51870616355471,2.788982625146101,2.9947892275585057,5.088495659592962,0.0,8.916288871574757,14.663585219561199,1.6705714440785921,5.458754230533419,2.580654022112884,0.6231199841690387,2.2251894739167306,3.124201357201974,5.275217397050079,4.410638304180371,0.681505998226131,8.142856568002408,20.84565590876242,1.7308895504635804,1.1712625918778081,0.0,0.0,2.795818023104663,2.882628309472703,5.524381658838422,6.962177558845893,0.0,12.923405763481277,1.6430234056181099,3.5713322360536752,0.0,3.4347470690218946,0.0,0.0,2.5148239036025375,0.0,0.0,7.366807878588097,5.563857862827923,1.1921836045798497,0.0,4.203004074315967,0.0,12.235811153313726,0.0,10.382601777074747,2.4464624643780137,1.8665759619750792,5.322275240115984,0.0,0.0,3.942075974294961,3.4783147468324054,5.102851993586823,4.15014615433465,0.8274362854970557,0.0,0.0
何欣純,7.562358243289287,11.411072179510438,2.2223942230934464,8.164630605583291,1.6332432330974362,16.24282465568888,10.255880316908542,17.36242859392597,15.354085015780818,11.1949791491505,1.5105270003316917,11.94256626860391,0.0,10.254758740372269,12.172124456865252,5.342437375332106,1.5918231485533854,5.207612006722358,2.0010956868381657,8.99327547536799,4.648695077876841,7.201385304977302,0.0,18.75113031050222,4.6367198519206365,1.50000603865486,4.610860895913883,8.530662842402123,8.106959816011962,4.328208359379731,11.318838663007183,1.1907721020946185,12.051119164283666,0.0,0.8597757772245955,4.784046879167384,5.842444627951068,10.835776008657623,10.968640634072209,2.294179502929314,0.7428781220944713,0.0,5.360621712485692,2.1582885039757995,4.62043378887255,1.0499264187458621,16.000441310777525,2.7877335720621517,10.71141147592546,13.328219515950037,2.029480267403107,12.118245411257853,5.436067783526903,1.695310094688997,4.474529606859221,0.0,9.913898512299895,1.2487293092486624,7.679783346774156,2.18972012746519,7.0145821782226445,0.0,8.017323432199142,7.43546085115987,4.536772339072222,4.912790538632041,3.3120472814786837,5.1860754388530905,0.0,9.717343918869576,0.0,6.348818698164061,0.0,4.237253967204559,3.3767984803110433,3.046308569172642,3.887472574387387,6.181303401729836,13.953654836524505,4.360604063831777,6.021176250314716,2.1253947095966548,13.998984292722406,5.0164625555523665,0.9748559150477865,5.481799563841129,4.66513320060843,2.316836980770713,5.562381208666707,4.103505661015051,2.22241229953078,4.1989872238127335,8.39480925256934,2.5190059024461364,2.130685936156988,5.074834612736696,0.0,4.453932098102235,2.821133929646389,5.758786335187089,2.2033442967209025,6.20319161250886,6.048484154782672,4.768934086409689,0.0,6.518254188570283,2.017610666619724,2.1341141930979504,5.6558118234228125,0.0,0.0,8.091365864256348,9.202581672117825,1.77605992253723,3.207722614573189,6.440516088797885,0.0,4.980641152371014,1.7955908018347333,3.141357080491394,8.134742454686943,3.04324695466309,6.683118701497561,6.258740141472006,0.0,4.228976513212581,0.0,9.774498355934636,1.101063036250679,1.2629428890861063,5.40786563270035,11.342243268243232,0.7538169509052853,7.357763575108436,4.1799867128350705,0.0,2.3861807684459686,14.23350028654602,9.415502494693827,0.9379114480700166,1.155430979824644,1.702023219634965,4.259442432318269,5.141381865133081,7.484675227044123,3.418191435425092,0.0,4.5640655934340355,1.235886312804832,3.559975917483156,4.521182871179908,4.1781234844300545,10.99263537418416,4.694228033398522,1.900959636232278,2.20023391125148,0.0,0.0,0.9371139543343125,0.0,0.0,12.867598961804934,2.849021915780115,11.163500222297902,2.731060496435247,0.0,1.9333308452759264,4.257462484213223,2.085992201638593,4.645423335054173,1.3345365066365549,4.11901255076908,2.63804411188802,2.5005582424068784,0.0,4.004401627191177,1.16818163115779,4.700908912770137,2.326339961988257,0.0,0.0,4.384739199247785,0.0,0.0,6.413373219397623,3.2168805373140663,3.121015421338796,0.0,1.2074230850378465,0.0,0.0,5.2018910527963165,1.3773415122006962,2.2595543002657124,3.2927158497700377,2.8643636716101044,0.0,6.060948365402604,1.7087455398532327,2.205343654697586
余天,1.135284623906461,2.0016096273742305,0.0,0.0,0.0,1.4561946305121238,0.0,4.000002692238329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44145612776191123,0.0,3.1471022765727596,0.0,0.0,0.0,0.0,0.0,0.6546701873287446,0.0,0.0,2.0181133142551344,0.0,2.000098518463133,0.0,2.0000392033441496,0.0,0.0,0.0,2.0081337818464156,0.0,0.0,0.0,1.294147022899546,0.0,0.0,2.0000029306957523,0.0,0.0,0.0,1.7003785345424125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.118022026377675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357645549570536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946818800011153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9392583870851197,2.0109159182285543,2.0080676631232293,0.0,3.239371732810589,0.0,0.0,0.0,0.0,0.0,0.0,1.0797717875028479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243812768609299,1.2921317521567826,0.0,2.0013392027473023,0.0,0.0,0.0,0.6585010541992578,0.0,0.0,0.5531196599814162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5469859137760458,2.0177001109514223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4639681822401125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654096575675832,0.0,0.0,0.0,1.2495486674479295,2.17495523917867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250377026788057,0.0,0.0,0.0,0.0,1.1868910469961609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651610258481728,0.0,2.9436050098647777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
傅崐萁,0.0,1.2470400602507192,0.7289416801837731,0.6375548636970431,0.0,10.240611315535485,0.0,8.323850207046332,2.013560894068159,2.106795290366921,0.0,0.6420710100838302,0.0,15.551091420757345,0.0,0.0,0.0,4.141681323940965,0.0,0.0,0.0,2.030183985092572,0.0,4.933772502922899,0.0,10.000006939252769,7.6010488739823225,4.076204495890911,4.0279571113445884,0.0,8.731293575915753,1.230791203597739,2.1167979547122444,0.0,0.0,0.0,0.0,4.2038802988873964,0.0,0.0,0.6862166375717315,6.080364338805001,1.3654807742700101,0.0,10.724290726328872,2.0982486753531018,10.00013375521758,2.5800894193148114,0.0,8.286298306083568,0.0,0.0,4.013206793776044,0.0,0.0,0.0,0.0,1.1948257487974385,0.0,0.0,0.0,2.161979016734011,11.322973632049775,1.445656480328852,1.1810133045353863,0.0,0.9889178312380054,0.0,0.8661958597033086,1.1952278484778436,0.0,0.6865091386561959,0.0,4.034758942412649,4.480445414288935,2.0360389909474517,0.0,0.0,15.001821937570078,1.6707209043677482,0.0,1.4105310471626316,2.0679027631018254,0.9719490411699708,2.6869483208434066,0.0,0.0,2.3724243377205148,2.0468428881034844,0.0,0.0,2.38889205880122,5.463781864497244,0.0,4.451902559279288,3.1270500865647666,0.0,8.898016567133773,2.0895455556144524,0.0,0.0,12.02514269199139,4.115616257179519,2.3684812198142877,2.2154972841161844,5.194797159102801,15.271744509525835,14.033427273408599,0.0,0.0,0.0,2.1054589993419546,2.2258828435913607,2.0268209994444524,0.0,0.0,0.0,2.019380396443954,1.023535006072131,0.0,1.003652934249129,0.0,0.0,2.0788184571470882,0.0,0.0,0.9820765626488321,10.261684899524063,2.1422767055817187,0.0,0.0,0.0,0.0,0.0,9.839302109827544,0.0,9.871092630751138,4.242400839056991,2.4744123510806535,2.9451644502688543,0.0,0.0,0.0,2.2017680021163297,0.9010071393731602,0.0,0.0,3.9251448494762697,1.2892942710823148,0.0,1.555905261939175,0.0,5.164662303573001,0.0,2.126045980117066,6.097840637629342,0.0,0.7420562461565134,2.1009697270355328,0.0,2.6127418318411912,8.963050520591093,0.0,3.139014643860583,0.0,0.0,0.0,4.057123406346966,0.0,1.700292617241687,1.0006744996718044,1.168231903053984,1.9545789520522996,4.446342489145357,4.209418668701456,0.0,0.0,2.01381896909488,0.0,1.0431021048332074,0.0,0.7354189957494124,0.0,3.051018981693418,0.0,2.1084098302664747,0.0,1.78330175180625,0.0,0.0,0.0,0.0,0.0,0.0,4.055817726499711,1.861579161484367,0.0,1.0897905497882736,0.0,0.0
劉世芳,5.0237104205595315,2.157603197419888,3.000763212364141,27.448879141614665,41.2356988484104,25.455690813714412,1.4179320399484605,3.3420926420735144,1.1583159456111378,27.22860582072299,3.2658987457867372,10.115243612427259,12.741948064464028,7.952006960698337,2.3400944839016855,8.21748321864608,6.256219298168478,4.143710877199992,2.098798766470517,10.053074197512206,2.650907306481104,12.086601421015205,2.0,23.594044381177675,1.7951597437087332,10.50000066263793,12.612194191074316,0.731889295487334,12.383348798828536,9.69970188522616,25.044558853309695,28.80664341041918,3.2848335247210443,9.218270351145968,26.18466617053577,5.349318369211234,31.220176503074228,21.129199736424194,1.4452371256594805,20.9623751991068,2.960558009470543,2.070655286303136,8.38931165659295,11.221434067376453,5.120000153424218,11.31510375864509,0.0,13.754285648287967,5.365500696080826,13.82763015662195,4.212478797214182,2.33849958171859,4.533545757342194,1.2723470503596785,6.0029268378656875,8.439852071507374,0.0,6.504488167775847,1.3654177703084476,8.401671620871255,2.186431165268731,11.957969849627677,7.394612901773139,4.335006410548394,2.2727641735852258,4.153755233332233,8.608742673790978,1.4941766772107767,19.668612565142805,4.135218004600353,12.704766782591351,16.045860184170262,5.605561026894819,2.698665396602745,13.28828325513838,9.330473744466564,23.13397445276817,10.646760018430122,15.030417849682696,9.432357338429398,0.0,1.4321177461506247,4.211060057259811,5.141820460494151,12.325282307229438,6.422384406633901,9.614501073657651,3.0812035433971614,0.0,11.784204773160472,2.0827973371879156,11.72972689012056,3.398404207821711,4.300993598735305,9.151647076586038,2.085619611650669,6.16915465797226,19.373019530243344,10.101927458789081,3.7237522009721156,12.080333563339178,20.258484457140618,2.7274191509273678,2.8153923286435565,17.457505898404037,7.360781206045109,15.202692934167276,12.794765256991045,0.0,8.664584733836405,12.812715963595753,4.084597062661359,0.0,11.76658209989191,12.675987293377144,6.401681593703401,3.4823214700648024,1.8768976116694782,3.713632109425135,7.513202262460881,13.614877437218606,10.138200366779806,1.1338803110505673,9.220458885133045,13.250031060057703,9.419522726207559,0.0,14.9506779801997,0.0,2.7390098372040965,0.0,1.3559748455655447,5.552576862781592,2.943276081168185,14.541042041032052,10.17694888435837,8.80961333250379,19.804189188578253,5.317338259920611,6.3757333688430595,12.103228026950662,2.3670725548710547,3.9198850880780243,15.008892005420943,5.740444733671715,1.8023810560283637,2.3277604970677483,6.77751097777987,1.4159269859318564,4.192708582213293,3.7662417140463362,6.947048858656669,4.473061239053589,6.063840136466268,10.766311610239573,11.704764457595594,4.328826829953169,5.286703812197072,8.62700344829311,18.230351931662767,6.861549303738869,0.0,0.0,1.4856978163166512,3.235041852647875,4.630952625686008,0.0,2.193277050317765,1.8336777270929374,12.681748379354776,5.556444125801581,3.5834003192025987,0.8727201521824044,0.0,6.7664174747271435,0.8644869762254975,3.4627091881332976,1.4911508941319305,3.4191575765388844,4.025292472441334,4.26563273207169,1.5625664804518506,0.0,4.884709999548903,4.808483832890229,9.025770839536992,2.4867706986349716,11.54726831357014,0.0,3.0798187833119224,3.226911712459595,2.022854090846383,4.1545368823700946,14.038484514968022,5.176100523196144,4.174489660890774,2.2820428933503174,2.1843024688107606,0.0,2.399892679115837
劉建國,15.403420896528244,7.1772607977084775,8.999391301761914,14.257251703602176,27.71408061953189,21.788637671323606,27.428229701591306,1.4989304325845303,10.941522807351646,5.819037708873268,15.770012796714962,6.1892633983297305,5.732139255944724,7.6547360499487525,1.1245948654070128,11.323051152520563,9.648717382327396,1.1307977172214323,8.005227531635272,2.223693432493038,8.00188069954568,26.52997383886468,8.0,5.002409510539711,2.721082287881123,3.499994038226456,9.381995848721381,2.806915872878598,6.861477291920313,7.251790245607287,27.869740878879234,11.674972980048139,8.223335148067934,7.342579794156523,10.66613011498043,6.264831134342951,7.480408342676508,0.0,5.887491429470797,7.096838207821054,1.3936734557597834,14.937482299607339,2.337343570396792,5.724441771908113,4.297620036172523,4.072837526846656,1.5006709055387268,17.08019684647037,1.4789575635613432,12.121649495305656,0.0,10.418535652382056,10.369244772122817,5.988551103475586,0.0,4.490900033315897,1.4440797952074553,5.541098013787306,10.585927414956329,6.109890777635297,4.5718726430698196,8.778349712960043,3.389383121164322,9.406859610587603,1.4718312364639412,3.63831611543033,3.1431908521248175,7.98095321464463,12.241281412286451,11.699915983371813,11.583282381390632,15.317648558058874,10.298953030479371,4.087396719474971,4.713685467063714,4.714881587343009,3.465718689352768,4.741181520979883,4.0854586109807105,7.7903817885339315,0.0,2.1336396832569573,5.145190151548126,2.1825361784995048,5.375867293791927,3.773042108592941,5.815606092144133,2.168042576709522,7.7300113071259355,12.419030900211625,9.434156430839362,9.127379368296303,9.243593573006878,0.0,7.092661461346586,9.31655037638128,10.906732192483567,0.0,2.2496195853810983,6.541124938979845,4.104792878587803,0.0,5.638345045228929,4.91232132561922,10.946191209476497,2.844159550521122,2.8068413703166364,2.478797778387725,2.170426030275994,0.0,4.614909977205488,3.46669194375617,0.0,3.2956119929982552,8.292955591310285,6.274140089477265,0.0,1.2315967664997616,5.50018358924583,2.20533579713547,2.6293806872124215,5.237588670959662,0.0,4.331015260397967,10.174669257536785,8.174501395698405,7.003786311891936,0.0,12.152390765002279,0.0,0.0,3.996233487140892,4.219642796823273,3.89067596656558,7.258741847444005,1.1953442307792765,2.3265119986114673,5.305849402255564,3.5759679758704297,4.1093213366455945,7.704204790868253,6.271864751589594,2.6963047478206024,2.9259313277432293,3.7520731217126597,2.624213211538292,2.45276492988381,9.122281958948685,2.5840031757648454,5.4015037599400735,2.7001147941248917,13.452813194226662,6.754825316735218,8.894384009992752,3.363281234660083,5.728670601413386,4.704410071930597,0.6593692965267945,9.309944413487086,11.520330309576321,5.897042434414745,1.649850223305151,0.0,0.8413810408951549,0.6992274842875454,2.355800415131452,2.3554053761391707,0.0,1.1309354395742468,6.925431181763351,6.600619709966578,9.11244120646496,2.8276508850945445,1.961095929863013,1.9691220651700934,0.0,2.9778224067152816,1.1056353239083039,7.920127044922472,5.071455877010424,8.690387343177406,0.0,0.8005424287748838,6.843019879520377,0.0,4.190055867018259,0.0,4.307777206922289,3.731911690891212,0.0,1.7638754025306629,8.627090816034496,0.0,5.394120865154396,2.0938725105467837,9.207524524690648,2.523474948049644,0.0,0.0,0.0
劉櫂豪,1.129341908510949,2.1152299980431413,1.037970636538971,0.0,2.1277658914909394,40.23816938153092,0.0,12.987246396961556,2.0197627136956924,5.716678547822189,0.0,0.0,4.184072189929342,42.04774814777531,0.0,2.055697700061598,2.0416446728115067,0.0,0.734185591420909,0.0,1.36110268136404,0.0,0.0,6.096191163966577,0.9685431765914285,3.0000024153204743,5.539100961103243,4.632180477344334,0.0,1.0971662448963317,30.78828939221303,2.160630678564349,0.0,4.631107330950709,0.0,2.0791013577160644,2.0002472683983794,4.36875187343232,3.346887897020568,1.0253130770904462,0.0,0.0,3.2984633048373277,0.0,0.0,0.0,14.000024650171332,0.0,0.0,10.494505414177517,2.443851214822466,0.0,0.0,0.6776540363365507,4.000004586698869,2.0274036973715854,0.0,0.0,0.0,2.0883675564304363,0.0,6.07106320239507,9.100622707014269,3.998751307498358,2.1462972195710956,0.0,0.0,0.0,1.569954470319642,7.012741534381297,0.6543130516482142,0.0,0.0,8.014629421675076,6.149419430630643,0.0,3.3130250175550757,3.1697868172377945,35.49593441976203,0.0,0.0,0.0,6.116236535995388,0.0,0.0,2.08306886283879,0.0,0.0,0.0,2.0319093392814507,0.0,0.0,7.655406624117899,0.0,0.0,0.0,2.0229740061332584,10.802274434999658,1.190434500132644,2.6803532933655236,0.0,8.021521630527323,0.0,3.9352523787331073,0.0,6.113916496863226,9.889949701082124,14.040867508375024,0.0,0.0,0.8885348132128683,0.0,1.9995265243627092,0.0,0.0,1.8660921744139598,2.689693733803323,0.0,0.0,0.0,0.6568317943945909,4.111758544395471,0.0,1.0011541015554188,0.0,5.924272663219352,0.0,16.442606319715594,0.0,0.0,2.228112832569057,0.6312946195443467,0.0,0.0,12.719367386731697,2.066326648747985,6.126260909218305,12.177256459258867,12.37276101747307,0.0,0.0,0.0,0.0,0.0,0.0,1.1835315032823976,0.0,10.049757369106192,2.0022268334867013,0.0,0.0,1.0973655548282042,10.149927677510913,0.9498588051575553,2.0759400420323146,0.8081292295608739,0.0,5.2770744358855834,0.0,1.6955693654052726,0.8987251924433819,18.584856156331554,1.1856442651965033,6.640659360421062,0.0,0.0,0.0,2.084482344738526,2.089687967157536,0.7362623618228694,0.0,0.0,2.732784170823443,0.0,0.0,19.97957722707331,0.0,2.0363211605509473,0.0,0.0,0.6261743467442784,0.0,0.0,0.0,6.032080078754831,0.0,0.0,0.0,0.0,1.2715924775304215,0.0,0.0,0.0,0.9775812358990166,4.4286257362513535,0.0,0.957332248765586,0.7604305210644893,0.0,0.0
吳思瑤,11.53784591915794,11.860014710322652,2.16166011370863,0.0,1.6486600550265345,2.2514356349274607,7.567415769242965,5.960888413001734,6.96591004735258,6.772668883776045,3.2096388098291015,32.11199308544697,2.0821673994538354,3.1654975578893394,32.086376806628145,2.2503638131605883,1.2378975295143002,0.0,2.0004531776287675,38.35805046530975,17.341849021143652,2.028801501203297,0.0,7.234894344291666,0.6594914148531033,9.499977779873774,0.7905750433930285,2.0968756005130533,17.938750966901083,26.211501464862085,1.8558010809360834,2.0967828591551885,23.7385076932771,5.884443836361895,1.0004926083451853,0.6832366896045681,22.942424522975898,14.701864485128633,22.728894328586836,2.2603135567165817,2.0144650364621657,0.0,38.567188405671835,28.153864146056435,6.947543483643804,0.0,0.0,2.92014003518855,0.0,9.10646298234939,20.012244509253094,8.147968052510064,8.822105045138366,1.0671115919486938,3.0101963867562858,2.0164552201923827,2.3959246079520886,0.0,0.0,7.471675425073084,0.0,9.29533142717403,2.481057672756127,5.903524476716122,0.0,0.0,4.519277875968516,0.0,1.1220090119951465,2.6719603477760137,0.0,0.7116699436881142,0.0,3.8624960319021486,3.433875700241906,13.905976757739351,23.00391442715985,1.4339624298443145,1.7559373565411682,4.01650637786367,12.018426412082427,1.3419688033922184,2.6866718824595246,4.3132466268451735,2.1943321463561087,1.2826196131873884,1.2732265833715712,0.7218455668323968,4.029756630030264,2.2401349664661585,3.8210564787941403,0.7560062280097171,2.6736096490025374,25.708386118508837,2.182824583771616,2.475690411218657,0.0,2.5363047170380746,3.693518606306024,4.37529130141364,0.0,9.243473073929964,2.2378389656554822,3.0714192843503536,1.9887547587732393,2.1775660348619352,1.397782568134244,2.117060734071814,0.0,0.0,3.447726915867479,0.0,6.466898822470733,5.336720285758803,0.0,10.502243507082971,0.0,23.981443265587753,0.0,20.45505364926543,6.018080828090765,10.169750075890018,4.131239192434113,2.9524565889523076,2.4407268624294645,0.0,0.0,3.0620230634259706,0.0,1.2806211841612243,2.085138062435606,10.579772957520962,6.689272690075569,0.0,0.0,4.266607816909222,0.9844082394265365,4.302379990040027,0.8961092638452767,0.0,0.0,0.0,0.0,5.807937009561931,2.1671910231129825,0.0,0.0,9.179626301096755,2.031175511958198,4.20790019223628,0.0,1.0179553478509775,4.121654979682633,1.0874850396953963,1.3154471991034007,2.189363111706331,0.0,1.864424752329253,3.059287428164707,0.6806866448589411,2.4327723320161194,1.422942386950338,1.227010598917915,1.8552308637724266,3.4708957096896165,8.130075623803355,0.0,0.0,0.0,0.0,0.0,0.0,0.940574520722701,1.1481741308994278,1.2612187262103016,0.0,0.0,25.80284828777774,0.0,2.2314385524201836,0.0,1.1085318753531186,0.0,1.7264502798968775,1.0807598370238654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678855229468379,3.7299103216681027,1.363313540129995,2.200666003132117,1.7410249205768802,2.263389295016461
吳怡玎,20.83473039152212,21.53781185342712,3.0075572550779293,12.950260813269848,2.652636425815933,14.015761609412824,13.532369753583854,12.190740767530786,8.302499666598198,12.81961410139153,11.34287778306118,5.703282226377138,15.787060240258924,5.70793600672229,3.4017611183984986,4.7110697361074605,6.043363455845968,2.5095131974253886,5.260270864618568,4.1584328378160755,19.429866793534305,10.152479717834684,8.0,4.2311919369150734,1.3008235404846333,7.500000435115699,3.5612108875036985,0.0,16.03138632997044,9.643827669723922,13.146346184694721,0.0,6.824638746836817,20.36898643591082,15.722110809464546,3.175518565550205,14.970229417661539,5.10004987858208,26.031731370021653,13.602967214602018,12.004803476764032,8.907615616476804,4.1368991090126075,4.991294255835626,4.0099407624421,0.0,0.0,4.4323184257784956,18.36908754085229,3.0741849369809455,4.6838909468260335,11.95312875732613,0.7705414142080445,4.3392313550585815,0.0,7.089762312051501,2.517517765224089,2.4091955837675005,1.3284407908497853,0.0,3.816796597345732,1.290064081132344,4.136837240601785,0.0,2.6880663189715133,2.309257055708221,2.7305187599456,4.181834162347193,0.6873958034950112,6.254933823412882,5.506281833660539,13.276674738033574,2.0084612396572035,7.85945642007743,11.539951265912517,1.406090904045021,6.86919019157693,4.092739354906641,3.844724326226818,4.213865020545324,10.043427525317359,3.380872819028176,3.5645496343821703,12.397061434871345,5.353544210182925,4.594945202708241,0.0,4.97470078986007,1.385092286926227,4.137355276728349,6.835781149829309,5.327090254496658,2.881327637033376,3.0577692373472303,2.0561896872704257,0.7526944283761052,6.457408437557259,5.682677214206944,2.784899724239963,7.814001124692779,0.0,5.871935536812395,1.4213742550249016,5.075360470754822,0.0,0.0,2.1365313069614587,2.0656880252595196,2.731550950195658,0.0,2.497767680100171,0.0,5.244509188841947,7.456416756370901,5.5916221928825625,8.939785856916014,3.539398498974292,3.7809918990444564,8.253594214871729,7.083562048651213,2.2931265116039334,6.691790639816048,5.7481617700275125,5.161339041317837,0.6398961161464246,2.15358606609597,0.0,6.981277098948848,3.7221352421481577,1.4531790123025976,0.0,6.6339606405233535,7.002732095497251,2.1736527447797283,0.8756560346284574,4.153169397038281,9.600780789324965,7.858011170371821,1.5619998000419628,0.0,17.682226562341256,6.292318567965948,4.789700805675926,6.978954234038883,3.2917483007852457,2.2439918823120317,6.954552877184463,5.493756642778569,0.0,0.0,3.4201412079187725,4.434214804100543,8.435026570379804,12.792170124428461,6.637158680570387,8.08731515801032,4.893635343108306,11.987401042826612,6.898346478646952,5.71647718136898,5.692602517851994,0.7744872022993878,4.619381071276413,0.0,2.7617705068342957,7.550398875159798,6.101813041692625,4.529618649765396,0.7296151013029846,2.067216901610723,2.876608632472871,4.039129074491589,1.1582112708573726,2.2801142320035797,6.640177929465937,2.541016780478079,0.0,7.3966460056647225,0.0,0.0,1.9598813528356034,1.55752709366008,0.0,2.549133773209811,0.0,0.0,1.412130190710819,0.0,2.932523835290832,1.565366161538375,0.0,0.0,0.0,6.840587708492194,6.0350260829386055,0.0,0.0,0.0,0.0,0.0
