主題ID,關鍵詞
0,"豬肉, 萊克多巴胺, 標示, 美豬, 萊豬, 瘦肉精, 萊劑, 食安, 美牛, 食品"
1,"氣候變遷, 環保署, 減碳, 碳費, 溫室氣體, 減量, 氣候, 能源, 碳稅, 碳權"
2,"高端, 萬劑, 施打, az, bnt, eua, 國產 疫苗, 接種, 德納, 高端疫苗"
3,"兩岸, 習近平, 陸委會, 中共, 戰略, 國安局, 印太, 邦交國, 臺海, 拜登"
4,"退輔會, 教召, 軍人, 國軍, 退伍軍人, 後備, 部隊, 義務役, 動員, 軍事"
5,"捷運, 高鐵, 公路, 宜蘭, 鐵路, 汐止, 高架, 國道, 基隆, 臺鐵"
6,"農民, 農會, 肥料, 天然 災害, 天然, 農產品, 災害, 漁民, 種植, 玉米"
7,"央行, 國發基金, 主權基金, 債券, 利率, 壽險業, 總裁, 壽險, 外匯存底, 貸款"
8,"用水, 水庫, 自來水, 再生, 缺水, 水利署, 水資源, 萬噸, 供水, 科學園區"
9,"投票, 中選會, 不在籍, 不在籍 投票, 選務, 罷免, 連署, 公民投票, 投票 投票, 電子 連署"
10,"消防, 消防設備, 消防署, 火災, 消防員, 大火, 消防人員, 消防法, 消防安全, 明揚"
11,"體育署, 選手, 體育, 教練, 足球, 賽事, 運動員, 奧運, 比賽, 運動 科學"
12,"社會住宅, 房東, 租屋, 租金, 住宅, 房價, 公設, 社宅, 房子, 包租代管"
13,"臺鐵, 鐵道局, 高鐵, 臺鐵局, 鐵路, 行車, 列車, 事故, 鐵道, 運安會"
14,"故宮, 博物館, 文物, 南院, 參觀, 故宮 故宮, 展覽, 國寶, 北院, 國史館"
15,"雇主, 職災, 移工, 工會, 無薪假, 職業病, 缺工, 投保, 給付, 營造業"
16,"醫師, 護理, 物理治療師, 護理人員, 照護, 偏鄉, 病人, 醫生, 診所, 治療"
17,"稅收, 稅率, 還稅於民, 超徵, 扣除額, 房屋, 營業稅, 所得, 所得稅, 課稅"
18,"廢棄物, 環保署, 垃圾, 事業 廢棄物, 回收, 焚化爐, 空污, 污染, 空氣, 循環"
19,"教師, 私校, 私立學校, 退場, 國教, 專輔, 預警, 高中, 校長, 公立學校"
20,"施打, 接種, 施打 疫苗, 萬劑, 國產 疫苗, 試劑, 疫苗 接種, 指揮中心, 疫苗 疫苗, 德納"
21,"總統府, 秘書長 秘書長, 發言人, 議事, 提名, 中立, 在野黨, 考試院, 華視, 行政中立"
22,"員警, 分局, 治安, 警員, 派出所, 警察局, 警力, 黑道, 警方, 基層員警"
23,"數位發展部, 議價, 數發部, 審計, 資通, 數位 數位, 數位轉型, google, ncc, 數位 平台"
24,"農田水利, 水利會, 台糖, 農民, 農地, 公頃, 灌溉, 農村, 造林, 水利"
25,"黨產會, 表決, 不當黨產, 在野黨, 行政命令, 黨產, 附隨組織, 各黨, 開議, 總召"
26,"中科院, 飛彈, 國防, 特別預算, 戰力, 武器, 海軍, 延宕, 軍售, f-16"
27,"駕駛, 機車, 行人, 交通安全, 車禍, 事故, 交通事故, 車輛, 運安會, 公路"
28,"特別預算, 總預算, 預算法, 主計長, 中央政府 總預算, 流用, 財政紀律, 舉債, 特別預算 特別預算, 第六 十二條"
29,"藝文, 漫畫, 藝術, 娛樂稅, 文策院, 工作者, 創作, 藝文 工作者, ccc, 電影"
30,"法官, 司法院, 國民法官, 判決, 律師, 審判, 檢察官, 當事人, 證據, 上訴"
31,"國軍, 中科院, 國防, 營區, 陸軍, 動員, 海軍, 官兵, 軍事, 軍人"
32,"停電, 台電, 電網, 缺電, 變電所, 電廠, 供電, 機組, 中油, 跳電"
33,"凍結 凍結, 減列, 減列 凍結, 動支, 整目, 凍結 凍結 凍結, 始得 動支, 凍結 減列, 始得, 刪減"
34,"大法官, 國民法官, 司法院, 法官, 提名, 司法改革, 審判, 法庭, 陪審, 參審"
35,"原民會, 部落, 原住民 健康, 原鄉, 文健站, 原民, 山地, 族人, 山地 原住民, 都會區"
36,"監察委員, 人權委員會, 考試院, 考試, 監試, 彈劾, 監委, 人權, 監察, 職權"
37,"性騷擾, 申訴, 性別, 歧視, 被害人, 女性, 性工法, 職場, 雇主, 性平"
38,"原能會, 核能, 核廢料, 核電廠, 除役, 核四, 貯存, 核安會, 輻射, 原子能"
39,"軍公教, 調薪, 退休金, 新制, 銓敘部, 年金改革, 私校, 退撫, 教職員, 年金"
