委員,政黨,主題數量,主題1,主題1評分,主題1關鍵詞,主題2,主題2評分,主題2關鍵詞,主題3,主題3評分,主題3關鍵詞,主題4,主題4評分,主題4關鍵詞,主題5,主題5評分,主題5關鍵詞
江啟臣,國民黨,165,4,64.67524092127913,"退輔會, 教召, 軍人",3,52.596419427755976,"兩岸, 習近平, 陸委會",31,35.01739205829851,"國軍, 中科院, 國防",94,32.200360013070984,"客家, 客委會, 客語",0,28.496146911938943,"豬肉, 萊克多巴胺, 標示"
陳亭妃,民進黨,155,6,48.45560262882979,"農民, 農會, 肥料",11,26.08334777378178,"體育署, 選手, 體育",71,25.327254175317837,"法官, 審判, 國民法官",0,25.261427029277694,"豬肉, 萊克多巴胺, 標示",58,23.967905703559065,"農民, 老農, 農保"
魯明哲,民進黨,125,5,38.3338076842516,"捷運, 高鐵, 公路",13,29.1986419641233,"臺鐵, 鐵道局, 高鐵",78,29.113269719099144,"振興, 振興券, 抵用券",30,26.397364717358684,"法官, 司法院, 國民法官",44,22.09885455372118,"ncc, 鏡電視, 頻道"
賴品妤,民進黨,162,19,32.961149456223,"教師, 私校, 私立學校",29,31.655505574298243,"藝文, 漫畫, 藝術",5,31.371952755449687,"捷運, 高鐵, 公路",11,29.2582028537998,"體育署, 選手, 體育",38,26.712595656845156,"原能會, 核能, 核廢料"
范雲,民進黨,158,19,82.22550876858577,"教師, 私校, 私立學校",37,56.76158272117728,"性騷擾, 申訴, 性別",80,36.5591359239155,"特教, 家長, 幼兒園",14,36.13657299669569,"故宮, 博物館, 文物",177,36.00685470247778,"調解, 公共工程, 政府採購法"
孔文吉,國民黨,176,24,83.4274434438124,"農田水利, 水利會, 台糖",35,71.36827592491493,"原民會, 部落, 原住民 健康",168,56.88503608306016,"紅色 供應鏈, 供應鏈, 紅色",68,47.97495081196868,"獵槍, 原民會, 保留地",129,37.62426262345325,"股東會, 股東, 日盛"
劉世芳,民進黨,184,4,41.2356988484104,"退輔會, 教召, 軍人",36,31.220176503074228,"監察委員, 人權委員會, 考試院",31,28.80664341041918,"國軍, 中科院, 國防",3,27.448879141614665,"兩岸, 習近平, 陸委會",9,27.22860582072299,"投票, 中選會, 不在籍"
林淑芬,民進黨,163,4,26.161608479663897,"退輔會, 教召, 軍人",3,20.967672858289056,"兩岸, 習近平, 陸委會",31,19.519014315271303,"國軍, 中科院, 國防",30,17.24783748704119,"法官, 司法院, 國民法官",18,14.035093831285424,"廢棄物, 環保署, 垃圾"
萬美玲,國民黨,148,50,30.0080922898034,"課綱, 學習歷程檔案, 學習歷程",19,29.41311000537016,"教師, 私校, 私立學校",2,25.25504233713265,"高端, 萬劑, 施打",11,24.26145448011665,"體育署, 選手, 體育",93,24.02199827695221,"總預算, 表決, 開議"
張育美,國民黨,111,57,46.09402408051929,"健保, 醫師, 護理",1,38.05832244339124,"氣候變遷, 環保署, 減碳",180,32.22842587430902,"泰國, 護照, 緬甸",2,32.047205871537145,"高端, 萬劑, 施打",51,28.72552298427034,"停課, 家長, 冷氣"
鄭正鈐,國民黨,152,11,29.39213900894938,"體育署, 選手, 體育",20,26.85677000308209,"施打, 接種, 施打 疫苗",50,26.77597795829683,"課綱, 學習歷程檔案, 學習歷程",38,25.95335037815948,"原能會, 核能, 核廢料",43,25.316972629062573,"校長, 學院, 校務"
林德福,國民黨,170,17,70.83088010375968,"稅收, 稅率, 還稅於民",53,62.13205818172317,"股市, 國安基金, 升息",7,50.9425425023633,"央行, 國發基金, 主權基金",87,49.03276668717,"總裁, 央行, 升息",6,44.95625231937316,"農民, 農會, 肥料"
林奕華,國民黨,176,0,43.75614249418176,"豬肉, 萊克多巴胺, 標示",19,35.456625986934355,"教師, 私校, 私立學校",93,33.063127300382064,"總預算, 表決, 開議",6,32.48119220697532,"農民, 農會, 肥料",11,29.426128410510213,"體育署, 選手, 體育"
楊瓊瓔,國民黨,196,6,78.25853382538432,"農民, 農會, 肥料",0,62.2670652539833,"豬肉, 萊克多巴胺, 標示",1,39.79840996454769,"氣候變遷, 環保署, 減碳",8,36.36497880396363,"用水, 水庫, 自來水",38,34.43764628885465,"原能會, 核能, 核廢料"
張宏陸,民進黨,149,9,42.92614109394701,"投票, 中選會, 不在籍",33,32.71961428085648,"凍結 凍結, 減列, 減列 凍結",12,30.86885348568766,"社會住宅, 房東, 租屋",143,30.29286963477951,"修憲, 公民權, 修憲 門檻",34,25.19592209164729,"大法官, 國民法官, 司法院"
