委員,政黨,度數中心性,加權度數中心性,介數中心性,特徵向量中心性,接近中心性,LeaderRank,核數,社區,會議數量,會議加權介數中心性,會議加權LeaderRank,會議加權特徵向量中心性,會議加權核數
陳椒華,時代力量,1.0,0.08062167009251667,0.0,0.34403033020212487,0.0961380443714051,0.035715381043711844,100,3,1341,0.0,0.2572191855255681,2.477677648808477,720.1916317531627
邱顯智,時代力量,1.0,0.04746767907086455,0.0,0.21786382410652463,0.18600953895071543,0.021551244379038374,100,5,806,0.0,0.14424945408288725,1.4582330903520024,669.3323668269949
楊瓊瓔,國民黨,1.0,0.04314698955770966,0.0,0.19779332785757617,0.1609353507565337,0.019558443899877615,100,1,631,0.0,0.12613024143193705,1.2755472942537351,644.8889394146858
游毓蘭,國民黨,1.0,0.041903948900545517,0.0,0.19129468807762562,0.22807017543859648,0.019182907244802944,100,4,673,0.0,0.12494268908168837,1.2459463224447687,651.3230110912307
張其祿,民眾黨,1.0,0.04159318873625448,0.0,0.19596189587836108,0.12086776859504132,0.018963200834874273,100,3,671,0.0,0.12345533639825579,1.2757625670668291,651.025834052315
洪孟楷,國民黨,1.0,0.041424704309831625,0.0,0.18866575849143516,0.22456813819577734,0.018958395083874677,100,5,604,0.0,0.1214328517098261,1.2084472853453145,640.5228458030842
高嘉瑜,民進黨,0.982905982905983,0.034715280039837204,0.0,0.16827935022837015,0.12758996728462377,0.015908957410011693,100,3,502,0.0,0.09896310408125414,1.0467968718613707,622.0590170099739
鍾佳濱,民進黨,1.0,0.03349470397286278,0.0,0.16076548063625468,0.16572237960339944,0.015461105616421092,100,3,519,0.0,0.0966911077627856,1.0053997947097884,625.3828811575473
王婉諭,時代力量,1.0,0.03338612512027916,0.0,0.15299977845617893,0.23636363636363636,0.01544581606312107,100,0,521,0.0,0.09665478254658975,0.9574217545984554,625.7667587882639
曾銘宗,國民黨,0.9914529914529916,0.03242763593885139,0.0,0.16021138090775286,0.28888888888888886,0.014946680579182357,100,3,564,0.0,0.09471451008938955,1.015231600958752,633.6825731146441
李貴敏,國民黨,0.9914529914529916,0.02839524199979782,0.0,0.14054022820739498,0.14391143911439114,0.01323006991565251,100,3,457,0.0,0.08105890766988752,0.8610715933322635,612.6869184114186
孔文吉,國民黨,1.0,0.02781116265486527,0.0,0.12882078502494423,0.2947103274559194,0.013086262701470982,100,1,401,0.0,0.07847114730845287,0.7724676654203688,599.6452088619021
邱臣遠,民眾黨,0.9914529914529916,0.027286988883771953,0.0,0.12501038612823223,0.21787709497206703,0.01293101436019731,100,6,453,0.0,0.0791132027249556,0.7648256930972046,611.8097198041348
李德維,民眾黨,1.0,0.027002437408035585,0.0,0.12330718337425352,0.2947103274559194,0.012749817026061597,100,0,417,0.0,0.07695128392888277,0.7442182157522325,603.5481432524756
廖婉汝,國民黨,1.0,0.026373428882723607,0.0,0.11815459733674029,0.2422360248447205,0.012457502607283415,100,6,357,0.0,0.07325675501030285,0.6948120071335936,588.05329864007
林奕華,國民黨,0.9572649572649574,0.025684514783572393,0.0,0.11958615206974942,0.25601750547045954,0.012093390740728823,100,0,384,0.0,0.07199489781618147,0.7119254626823611,595.3243334287785
賴香伶,民眾黨,1.0,0.02467735232340024,0.0,0.11559369995209712,0.2947103274559194,0.011778189810366782,100,2,421,0.0,0.071199219993392,0.6987645304795114,604.5005314036013
林德福,國民黨,1.0,0.024654887733210527,0.0,0.12256407096242675,0.28888888888888886,0.011672323921383225,100,3,358,0.0,0.06867204465236122,0.7210839427175114,588.3322388488278
江永昌,民進黨,1.0,0.02392853265040979,0.0,0.11786476869892365,0.23260437375745527,0.011390600615736013,100,3,407,0.0,0.06847194357812172,0.7085166150985788,601.1267174404162
邱志偉,民進黨,0.9914529914529916,0.02366270166649818,0.0,0.11163319250097621,0.22941176470588234,0.011254681230726751,100,1,338,0.0,0.06556977405874678,0.6503749914979099,582.600010738045
范雲,民進黨,1.0,0.022700468386705454,0.0,0.10245788697790768,0.3,0.01091391619632912,100,0,376,0.0,0.06474402683188432,0.607805306940785,593.2245187448011
劉世芳,民進黨,0.9914529914529916,0.02267800379651574,0.0,0.1071684529362067,0.2947103274559194,0.010935103503550573,100,6,394,0.0,0.0653797346750989,0.6407479377067621,597.8885764901122
蔡易餘,民進黨,1.0,0.022202503304166808,0.0,0.10547825513050713,0.29770992366412213,0.010698470217526889,100,1,335,0.0,0.06223419049690963,0.6135787350531191,581.7111159963204
吳玉琴,民進黨,0.982905982905983,0.02179065248402206,0.0,0.1006532464267893,0.2549019607843137,0.010532549471538621,100,2,366,0.0,0.0621985158119715,0.5943938413315966,590.5361848054571
劉建國,民進黨,0.9914529914529916,0.021161643958710084,0.0023451573836292482,0.09731831813981809,0.335243553008596,0.010224119608348957,100,2,303,0.01340732972636575,0.05845157502342151,0.5563715206596036,571.7027701406222
